01-2014,1276,130318.4816,13013.41991,117305.0617,13655398.4,342006.6395
02-2014,1276,130441.0827,13025.66268,117415.4201,13589923.12,341023.3624
03-2014,1276,130563.6839,13037.90546,117525.7784,13655398.4,342006.6395
04-2014,1277,130686.285,13050.14823,117636.1367,13742698.77,342989.9167
05-2014,1277,130808.8861,13062.39101,117746.4951,13851824.23,344956.471
06-2014,1277,130931.4872,13074.63378,117856.8534,13808174.04,343973.1938
07-2014,1277,131054.0883,13086.87656,117967.2118,13742698.77,343963.3611
08-2014,1277,131176.6895,13099.11933,118077.5701,13655398.4,342980.0839
09-2014,1277,131299.2906,13111.36211,118187.9285,13611748.22,342881.7562
10-2014,1277,131421.8917,13123.60488,118298.2868,13524447.85,342390.1176
11-2014,1277,131544.4928,13135.84766,118408.6452,13437147.48,340423.5633
12-2014,1277,131667.0939,13148.09043,118519.0035,14113725.33,346283.8951
01-2015,1277,131792.1777,13160.58112,118631.5966,14459050.25,340949.1938
02-2015,1277,131917.2614,13173.0718,118744.1896,14502700.43,341932.471
03-2015,1277,132042.3452,13185.56249,118856.7827,14546350.62,342915.7481
04-2015,1283,132167.4289,13198.05318,118969.3757,14590000.8,343899.0253
05-2015,1289,132292.5126,13210.54386,119081.9688,14677301.17,345865.5796
06-2015,1291,132417.5964,13223.03455,119194.5618,14590000.8,343899.0253
07-2015,1292,132542.6801,13235.52523,119307.1549,14524525.53,342424.1096
08-2015,1293,132667.7639,13248.01592,119419.7479,14393574.97,339474.2781
09-2015,1293,132792.8476,13260.50661,119532.341,14389209.96,339375.9504
10-2015,1293,132917.9313,13272.99729,119644.934,14301909.59,337409.3961
11-2015,1293,133043.0151,13285.48798,119757.5271,14236434.31,335934.4803
12-2015,1293,133168.0988,13297.97866,119870.1202,14297544.57,325511.7425
01-2016,1293,133293.4988,13310.50093,119982.9979,15809554.3,346422.1938
02-2016,1293,133418.8987,13323.02319,120095.8755,15875029.57,345438.9167
03-2016,1293,133544.2987,13335.54545,120208.7532,15962329.94,346422.1938
04-2016,1293,133669.6987,13348.06772,120321.6309,16027805.22,347405.471
05-2016,1293,133795.0986,13360.58998,120434.5086,16158755.77,349372.0253
06-2016,1293,133920.4986,13373.11224,120547.3863,16115105.59,347405.471
07-2016,1293,134045.8985,13385.63451,120660.264,16049630.31,345930.5552
08-2016,1293,134171.2985,13398.15677,120773.1417,15918679.76,342980.7238
09-2016,1293,134296.6985,13410.67903,120886.0194,15831379.39,342882.3961
10-2016,1293,134422.0984,13423.2013,120998.8971,15722253.93,340915.8417
11-2016,1293,134547.4984,13435.72356,121111.7748,15656778.65,339440.926
12-2016,1293,134672.8983,13448.24582,121224.6525,15634953.56,350650.2856
01-2017,1293,134799.7153,13460.90959,121338.8057,13884325.23,294231.0272
02-2017,1293,134926.5323,13473.57335,121452.9589,14015275.78,293247.75
03-2017,1293,135053.3493,13486.23712,121567.1122,14102576.15,295214.3043
04-2017,1288,135180.1663,13498.90088,121681.2654,14211701.61,297672.4972
05-2017,1282,135306.9832,13511.56465,121795.4186,14342652.16,299639.0515
06-2017,1281,135433.8002,13524.22841,121909.5718,14299001.98,297672.4972
07-2017,1274,135560.6172,13536.89218,122023.725,14233526.7,296197.5815
08-2017,1274,135687.4342,13549.55594,122137.8782,14102576.15,293247.75
09-2017,1274,135814.2511,13562.21971,122252.0314,14058925.97,291281.1957
10-2017,1274,135941.0681,13574.88347,122366.1847,13949800.51,289314.6414
11-2017,1274,136067.8851,13587.54724,122480.3379,13906150.32,288331.3642
12-2017,1274,136194.7021,13600.211,122594.4911,12029192.41,282923.3399
01-2018,1274,136322.9521,13613.01787,122709.9342,13256595.52,279952.7772
02-2018,1274,136451.2021,13625.82473,122825.3774,13212945.33,278969.5
03-2018,1274,136579.4521,13638.6316,122940.8205,13300245.7,280936.0543
04-2018,1274,136707.7021,13651.43846,123056.2637,13409371.16,283394.2472
05-2018,1274,136835.9521,13664.24533,123171.7068,13496671.53,285360.8015
06-2018,1274,136964.2022,13677.05219,123287.15,13409371.16,283394.2472
07-2018,1273,137092.4522,13689.85906,123402.5931,13343895.89,281919.3315
08-2018,1271,137220.7022,13702.66592,123518.0363,13212945.33,278969.5
09-2018,1268,137348.9522,13715.47279,123633.4794,13125644.97,277002.9457
10-2018,1264,137477.2022,13728.27965,123748.9225,13038344.6,275036.3914
11-2018,1262,137605.4522,13741.08652,123864.3657,12994694.41,274053.1142
12-2018,1259,137733.7022,13753.89338,123979.8088,12754618.4,268645.0899
