Months,Year,Demand,Consumption,Conections,Wards,Total Population,Slum Population,Non-slum Population,Rainfal(in mm)
1,2018,13256595.52,279952.7772,1274,B,136323,13613,122710,0
2,2018,13212945.33,278969.5,1274,B,136451,13626,122825,0
3,2018,13300245.7,280936.0543,1274,B,136579,13639,122941,0
4,2018,13409371.16,283394.2472,1274,B,136708,13651,123056,0
5,2018,13496671.53,285360.8015,1274,B,136836,13664,123172,0
6,2018,13409371.16,283394.2472,1274,B,136964,13677,123287,426.875
7,2018,13343895.89,281919.3315,1273,B,137092,13690,123403,426.875
8,2018,13212945.33,278969.5,1271,B,137221,13703,123518,426.875
9,2018,13125644.97,277002.9457,1268,B,137349,13715,123633,426.875
10,2018,13038344.6,275036.3914,1264,B,137477,13728,123749,0
11,2018,12994694.41,274053.1142,1262,B,137605,13741,123864,0
12,2018,12754618.4,268645.0899,1259,B,137734,13754,123980,0
1,2014,70470684.13,2016605.606,4340,A,189443,22815,166627,0
2,2014,70230002.77,2010666.796,4341,A,189604,22835,166769,0
3,2014,70591024.82,2022544.417,4341,A,189765,22854,166911,0
4,2014,70831706.18,2034422.037,4342,A,189926,22874,167052,0
5,2014,71313068.92,2046299.657,4342,A,190087,22893,167194,0
6,2014,71072387.55,2040360.847,4342,A,190248,22912,167336,529.875
7,2014,71069980.74,2028483.227,4342,A,190409,22932,167478,529.875
8,2014,70829299.37,2016605.606,4342,A,190570,22951,167619,529.875
9,2014,70805231.23,2004727.986,4342,A,190732,22971,167761,529.875
10,2014,70684890.55,2010666.796,4342,A,190893,22990,167903,0
11,2014,70203527.82,1998789.176,4342,A,191054,23009,168044,0
12,2014,70434581.93,2040360.847,4342,A,191376,23048,168328,0
1,2015,76974827.77,2001614.023,4342,A,191558,23070,168488,0
2,2015,77215509.13,2007552.833,4342,A,191740,23092,168648,0
3,2015,77696871.87,2016461.049,4342,A,191921,23114,168808,0
4,2015,77937553.23,2028338.669,4354,A,192103,23136,168967,0
5,2015,78418915.96,2043185.695,4366,A,192285,23158,169127,0
6,2015,77937553.23,2037246.884,4370,A,192467,23180,169287,396.125
7,2015,77576531.18,2028338.669,4372,A,192649,23201,169447,396.125
8,2015,76854487.08,2016461.049,4374,A,192830,23223,169607,396.125
9,2015,76830418.95,2007552.833,4374,A,193012,23245,169767,396.125
10,2015,76349056.22,1992705.808,4374,A,193194,23267,169927,0
11,2015,75988034.17,1974889.377,4374,A,193376,23289,170087,0
12,2015,79694527.21,1936287.111,4374,A,193558,23311,170247,0
1,2016,79733234.37,1960057.69,4374,A,193740,23333,170407,0
2,2016,79492553,1965996.5,4374,A,193922,23355,170567,0
3,2016,79733234.37,1974904.715,4374,A,194105,23377,170728,0
4,2016,79973915.73,1986782.336,4380,A,194287,23399,170888,0
5,2016,80455278.46,2001629.361,4390,A,194469,23421,171048,0
6,2016,79973915.73,1995690.551,4391,A,194651,23443,171209,563.875
7,2016,79612893.68,1986782.336,4392,A,194834,23465,171369,563.875
8,2016,78890849.58,1974904.715,4392,A,195016,23487,171529,563.875
9,2016,78529827.54,1963027.095,4392,A,195198,23509,171690,563.875
10,2016,78048464.8,1951149.474,4392,A,195380,23530,171850,0
11,2016,77687442.75,1945210.664,4392,A,195563,23552,172010,0
12,2016,81779025.98,1885822.562,4392,A,195745,23574,172171,0
1,2017,84125618.53,1934992.69,4392,A,195929,23597,172333,0
2,2017,83884937.17,1940931.5,4392,A,196114,23619,172495,0
3,2017,84366299.9,1952809.12,4392,A,196298,23641,172657,0
4,2017,84968003.31,1967656.146,4557,A,196482,23663,172819,0
5,2017,85449366.05,1979533.766,4755,A,196667,23685,172981,0
6,2017,84968003.31,1967656.146,4788,A,196851,23708,173143,563.75
7,2017,84606981.27,1958747.931,4795,A,197035,23730,173305,563.75
8,2017,83884937.17,1940931.5,4795,A,197220,23752,173468,563.75
9,2017,83403574.43,1923115.069,4795,A,197404,23774,173630,563.75
10,2017,82922211.7,1911237.449,4795,A,197588,23796,173792,0
11,2017,82681530.34,1905298.639,4795,A,197773,23819,173954,0
12,2017,81357782.82,1908268.044,4795,A,197957,23841,174116,0
1,2018,81470697.62,1794819.278,4795,A,198143,23863,174280,0
2,2018,81230016.25,1806696.898,4795,A,198330,23886,174444,0
3,2018,81711378.98,1818574.519,4795,A,198516,23908,174608,0
4,2018,82313082.4,1833421.544,4795,A,198702,23931,174772,0
5,2018,82794445.13,1845299.165,4795,A,198889,23953,174936,0
6,2018,82313082.4,1833421.544,4795,A,199075,23975,175100,426.875
7,2018,81952060.35,1824513.329,4781,A,199262,23998,175264,426.875
8,2018,81230016.25,1806696.898,4753,A,199448,24020,175428,426.875
9,2018,80748653.52,1794819.278,4711,A,199635,24043,175592,426.875
10,2018,80267290.79,1782941.657,4655,A,199821,24065,175756,0
11,2018,80026609.42,1777002.847,4627,A,200007,24088,175920,0
12,2018,78702861.91,1771064.037,4617,A,200194,24110,176084,0
